ticker,date,close,volume
BABA-CN,2025-01-02,93.98,3015277
BABA-CN,2025-01-03,96.3398,4104219
BABA-CN,2025-01-06,97.6202,2530485
BABA-CN,2025-01-07,98.1701,3010968
BABA-CN,2025-01-08,93.8695,3506564
BABA-CN,2025-01-09,93.0886,3405595
BABA-CN,2025-01-10,92.6561,3083970
BABA-CN,2025-01-13,92.6775,2901135
BABA-CN,2025-01-14,92.1335,2992866
BABA-CN,2025-01-15,92.0639,2953225
BABA-CN,2025-01-16,91.3639,3035721
BABA-CN,2025-01-17,89.6877,2776462
BABA-CN,2025-01-20,90.5681,2739518
BABA-CN,2025-01-21,91.8329,3147325
BABA-CN,2025-01-22,89.902,2549453
BABA-CN,2025-01-23,86.7224,2835480
BABA-CN,2025-01-24,87.0716,2480910
BABA-CN,2025-01-27,88.2826,2692961
BABA-CN,2025-01-28,86.501,2707081
BABA-CN,2025-01-29,87.6056,3010149
BABA-CN,2025-01-30,87.6511,3563518
BABA-CN,2025-01-31,83.5078,2988210
BABA-CN,2025-02-03,84.5117,3440324
BABA-CN,2025-02-04,85.0157,2625307
BABA-CN,2025-02-05,85.2778,2603401
BABA-CN,2025-02-06,87.8686,2704290
BABA-CN,2025-02-07,85.1667,2250550
BABA-CN,2025-02-10,83.0854,1779111
BABA-CN,2025-02-11,82.9688,3557072
BABA-CN,2025-02-12,81.8346,3739853
BABA-CN,2025-02-13,81.5657,2764198
BABA-CN,2025-02-14,82.5836,2930553
BABA-CN,2025-02-17,83.2527,3990254
BABA-CN,2025-02-18,83.5093,3152772
BABA-CN,2025-02-19,85.5936,2631229
BABA-CN,2025-02-20,83.6402,2557158
BABA-CN,2025-02-21,82.2012,2791491
BABA-CN,2025-02-24,83.7969,2905262
BABA-CN,2025-02-25,85.6859,3053927
BABA-CN,2025-02-26,84.5964,2568514
BABA-CN,2025-02-27,85.9127,3151780
BABA-CN,2025-02-28,86.2986,3411403
BABA-CN,2025-03-03,86.2824,2645764
BABA-CN,2025-03-04,89.1418,3206902
BABA-CN,2025-03-05,90.1628,3681613
BABA-CN,2025-03-06,88.9529,4234590
BABA-CN,2025-03-07,87.2953,2798863
BABA-CN,2025-03-10,86.9811,2284148
BABA-CN,2025-03-11,88.47,3631779
BABA-CN,2025-03-12,91.6588,2950198
BABA-CN,2025-03-13,92.0536,3408438
BABA-CN,2025-03-14,91.5741,2817930
BABA-CN,2025-03-17,90.6261,2740795
BABA-CN,2025-03-18,93.6137,3979306
BABA-CN,2025-03-19,93.236,3435735
BABA-CN,2025-03-20,92.2524,2769469
BABA-CN,2025-03-21,93.9081,2299423
BABA-CN,2025-03-24,95.5061,3806208
BABA-CN,2025-03-25,96.3683,3333367
BABA-CN,2025-03-26,96.6477,3134575
BABA-CN,2025-03-27,94.0867,3371923
BABA-CN,2025-03-28,95.834,2721289
BABA-CN,2025-03-31,96.3025,3444044
BABA-CN,2025-04-01,94.7161,2772404
BABA-CN,2025-04-02,95.3085,3075986
BABA-CN,2025-04-03,92.8979,2656751
BABA-CN,2025-04-04,93.9387,3363917
BABA-CN,2025-04-07,96.5543,3198954
BABA-CN,2025-04-08,97.4725,3228868
BABA-CN,2025-04-09,103.4447,3385664
BABA-CN,2025-04-10,106.8669,2817889
BABA-CN,2025-04-11,104.2274,3230196
BABA-CN,2025-04-14,105.9236,3527876
BABA-CN,2025-04-15,105.6776,3445731
BABA-CN,2025-04-16,109.891,3105355
BABA-CN,2025-04-17,110.5814,3240688
BABA-CN,2025-04-18,107.6959,2345674
BABA-CN,2025-04-21,111.6505,2658926
BABA-CN,2025-04-22,114.6742,3465149
BABA-CN,2025-04-23,115.3072,2818347
BABA-CN,2025-04-24,116.0233,3116600
BABA-CN,2025-04-25,117.1463,2711440
BABA-CN,2025-04-28,116.1084,2682901
BABA-CN,2025-04-29,117.4226,3072446
BABA-CN,2025-04-30,116.9623,2651733
BABA-CN,2025-05-01,120.5554,3583072
BABA-CN,2025-05-02,116.3511,3021321
BABA-CN,2025-05-05,120.6475,3222383
BABA-CN,2025-05-06,119.9507,4047273
BABA-CN,2025-05-07,121.1324,3327971
BABA-CN,2025-05-08,118.299,3738654
BABA-CN,2025-05-09,121.8391,2874472
BABA-CN,2025-05-12,124.0514,2952263
BABA-CN,2025-05-13,124.1007,2552762
BABA-CN,2025-05-14,120.8063,3382485
BABA-CN,2025-05-15,119.0444,3473062
BABA-CN,2025-05-16,119.3511,3215306
BABA-CN,2025-05-19,120.0711,2826430
BABA-CN,2025-05-20,118.8646,3504289
BABA-CN,2025-05-21,118.2242,3970629
BABA-CN,2025-05-22,119.4227,3167075
BABA-CN,2025-05-23,115.793,2515165
BABA-CN,2025-05-26,115.7909,3230422
BABA-CN,2025-05-27,119.1517,3819208
BABA-CN,2025-05-28,118.3139,3090120
BABA-CN,2025-05-29,116.3937,2271681
BABA-CN,2025-05-30,118.738,3189734
BABA-CN,2025-06-02,117.8642,3222908
BABA-CN,2025-06-03,118.4535,3013025
BABA-CN,2025-06-04,120.984,3794489
BABA-CN,2025-06-05,122.496,3101646
BABA-CN,2025-06-06,123.7633,3118053
BABA-CN,2025-06-09,122.1404,2755403
BABA-CN,2025-06-10,115.5089,2693449
BABA-CN,2025-06-11,115.9422,2501106
BABA-CN,2025-06-12,115.5737,2565715
BABA-CN,2025-06-13,116.4631,2417814
BABA-CN,2025-06-16,115.5668,3178315
BABA-CN,2025-06-17,114.0323,2782038
BABA-CN,2025-06-18,113.2903,3036523
BABA-CN,2025-06-19,113.5741,2462013
BABA-CN,2025-06-20,115.5756,2909333
BABA-CN,2025-06-23,113.0996,3232058
BABA-CN,2025-06-24,110.6099,4027180
BABA-CN,2025-06-25,108.8988,2781367
BABA-CN,2025-06-26,107.2598,2999326
BABA-CN,2025-06-27,105.6885,2741047
BABA-CN,2025-06-30,106.1609,3536009
BABA-CN,2025-07-01,105.9498,3284231
BABA-CN,2025-07-02,104.6872,2684548
BABA-CN,2025-07-03,105.4938,2872868
BABA-CN,2025-07-04,103.5974,2803094
BABA-CN,2025-07-07,101.3821,3075219
BABA-CN,2025-07-08,102.0134,2754578
BABA-CN,2025-07-09,102.8426,3016826
BABA-CN,2025-07-10,103.6456,2555239
BABA-CN,2025-07-11,100.9248,3511079
BABA-CN,2025-07-14,99.4196,2436454
BABA-CN,2025-07-15,101.1902,2503359
BABA-CN,2025-07-16,102.3353,2587083
BABA-CN,2025-07-17,102.1043,3511728
BABA-CN,2025-07-18,101.381,2621217
BABA-CN,2025-07-21,100.7305,2785879
BABA-CN,2025-07-22,101.4712,2436672
BABA-CN,2025-07-23,99.9769,3270868
BABA-CN,2025-07-24,100.9921,3111529
BABA-CN,2025-07-25,99.5571,3384691
BABA-CN,2025-07-28,98.8128,2859882
BABA-CN,2025-07-29,97.7965,2371165
